Parque Industrial Polo Inn
Parque Industrial Jilotepec
Parque Industrial El Convento
Parque Industrial El Convento Ii
Parque Industrial Trebol
Parque Industrial Prologis Park Cedros
Parque Industrial Prologis Carrizal
Megapark
Tepozpark IV
Cpa Logistic Center Tepotzotlan
Evolution Park Tepotzotlan
Evolution Park La Teja
Prologis Park Grande
Tepotzotlan Park
Tepozpark I
Tepozpark II
Tepozpark III
Tepozpark V
Parque Industrial Atlacomulco
Parque Industrial Santa Barbara
Conjunto Industrial Pasteje
Parque Industrial Ixtlahuaca
Parque Industrial Santa Margarita
Fraccionamiento Industrial El Pedregal
Zona Industrial Prof. Cristobal Higuera y/Atizapan Centro
Atizapan Park
Atizapark
Parque Industrial Exporteci
Parque Industrial Exportec
Parque Industrial Inn
Parque Industrial San Antonio Buenavista
Parque Industrial San Cayetano
Parque Industrial El Coecillo
Parque Industrial Toluca 2000
Parque Industrial Toluca
Parque Industrial Vesta Park Toluca 1
Parque Industrial Vesta Park Toluca 2
Corredor Industrial Toluca
Toluca Park
Frontier Toluca
Maravillas Park
Tolucapark DoÒa Rosa
Advance Toluca
Estrella Park
Prologis Park Toluca II
Corredor Industrial Lerma
Logistic Center Toluca
Parque Industrial Cerrillo I
Parque Industrial Cerrillo II
Parque Industrial Frisa (Dona Rosa)
Parque Industrial Lerma
Prologis Park Toluca
Lerma Litos
Lerma Park I
Lerma Park II
Polaris
Parque Industrial La Bomba
Condoter Park
La Bomba
Logicenter Lerma I
Logicenter Lerma II
Parque Corporativo
"Parque Industrial Ziporex II, Lerma"
"Parque Industrial Ziporex III, Toluca"
Premium Park Lerma
World Park Lerma
Parque Agroindustrial San Antonio La Isla
Parque Industrial Tenango Del Valle
Parque Industrial Las Americas
Parque Industrial Xalpa De Villa Hormes
Cpa Logistic Center Huehuetoca
Parque Industrial Huehuetoca (Odih)
Centro Logistico Puente Grande
Fraccionamiento Industrial Cuamatla
Fraccionamiento Industrial Seccion San Sebastian Xhala
Fraccionamiento Industrial Seccion Xhala
Parque Industrial Cuautitlan
Parque Industrial Cuamatla
Parque Industrial La Joya
Parque Industrial La Luz
Parque Industrial San Martin Obispo
