Algoritmo,Tamaño,Mejor,Peor,Media,Desviacion
Genetico,"100,000 evaluaciones",0.17273449897766113,0.3526475429534912,0.2471477508544922,0.040507699773171126
PSO,"100,000 evaluaciones",0.07419586181640625,0.11016297340393066,0.08100834687550863,0.0071707738297269764
Recocido,"100,000 evaluaciones",0.0198671817779541,0.025568246841430664,0.022015945116678873,0.0010986594613537673
Tabu,"100,000 evaluaciones",0.01707172393798828,0.022434234619140625,0.01908141771952311,0.00152445524664006
Genetico,"500,000 evaluaciones",1.12481689453125,1.2514777183532715,1.1952166080474853,0.03423784615291771
PSO,"500,000 evaluaciones",0.3427705764770508,0.4090564250946045,0.3702036221822103,0.01860987498509476
Recocido,"500,000 evaluaciones",0.09409523010253906,0.11564421653747559,0.09997207323710124,0.004764164115309966
Tabu,"500,000 evaluaciones",0.07407140731811523,0.09217047691345215,0.08098586400349934,0.0050691293325242
Genetico,"2,000,000 evaluaciones",4.715874433517456,5.045082330703735,4.811810143788656,0.06198780099043905
PSO,"2,000,000 evaluaciones",1.359431266784668,2.0266053676605225,1.4736826101938882,0.1347978776784288
Recocido,"2,000,000 evaluaciones",0.3718223571777344,0.43277406692504883,0.39823070367177327,0.017788612014651962
Tabu,"2,000,000 evaluaciones",0.28981924057006836,0.38181161880493164,0.30999438762664794,0.021567044743309227
