N,PARQUE INDUSTRIAL,MUNICIPIO,DIRECCION,ADMINISTRACION,LATITUD,LONGITUD
"25","ZONA INDUSTRIAL PROF. CRISTOBAL HIGUERA Y/ ATIZAPÁN CENTRO","ATIZAPÁN DE ZARAGOZA","ENTRE AV ALFREDO DEL MAZO PROLONGACIÓN ALFREDO DEL MAZO. CRUZANDO LA AUTOPISTA CHAMAPA-LECHERIA, COL EL PEDREGAL, ATIZAPAN DE ZARAGOZA MÉXICO, C.P. 52966.","MUNICIPALIZADO", 19.567887175566714,-99.26117917653863
"26","ATIZAPAN PARK","ATIZAPÁN DE ZARAGOZA","FRACCIONAMIENTO LAGO ESMERALDA 52989 CD LOPEZ MATEOS, MÉXICO.","PRIVADO", 19.539376, -99.285799
"27","ATIZAPARK","ATIZAPÁN DE ZARAGOZA","AV. LAGO DE GUADALUPE NO. 100 COL SAN MIGUEL XOCHIMANGA. ATIZAPÁN ESTADO DE MÉXICO.","PRIVADO", 19.583509, -99.225772
"28","PARQUE INDUSTRIAL EXPORTECI","TOLUCA","BLVD MIGUEL ALEMÁN VALDEZ (AEROPUERTO), SAN NICOLAS TOLENTINO, TOLUCA, MÉXICO, CP 50200","MUNICIPALIZADO", 19.336182, -99.584144
"29","PARQUE INDUSTRIAL EXPORTEC","TOLUCA","BLVD. MIGUEL ALEMÁN VALDÉZ (AEROPUERTO). SAN MATEO OTZACATIPAN, TOLUCA, MÉXICO, C.P 50200","MUNICIPALIZADO", 19.336182, -99.584144
"30","PARQUE INDUSTRIAL INN","TOLUCA","CARR. TOLUCA NAUCALPAN KM. 52. SAN MATEO OTZACATIPAN, TOLUCA MÉXICO, C.P. 50200.","PRIVADO", 19.376309, -99.563077
"31","PARQUE INDUSTRIAL SAN ANTONIO BUENAVISTA","TOLUCA","PASEO VICENTE LOMBARDO TOLEDANO, ENTRE LAS CALLES MANUEL MARTÍNEZ ORTAGOMEZ Y CALLE MANUEL MEDINA GARDUÑO DELEGACIÓN SANTA ANA TLAPALTITLAN, TOLUCA, MÉXICO 50160.","MUNICIPALIZADO", 19.303055, -99.613766
"32","PARQUE INDUSTRIAL SAN CAYETANO","TOLUCA","CARR. LIBRE TOLUCA-ATLACOMULCO KM. 1.5, SAN CAYETANO DE MORELOS TOLUCA, MÉXICO, C.P. 50900.","PRIVADO", 19.419965, -99.716462
"33","PARQUE INDUSTRIAL EL COECILLO","TOLUCA","CARR MEXICO TOLUCA KM. 57.5. EXRANCHO EL COECILLO, DELEGACIÓN SANTA MARÍA TOTOLTEPEC, TOLUCA MÉXICO, C.P. 50200.","MUNICIPALIZADO", 19.298402, -99.579120
"34","PARQUE INDUSTRIAL TOLUCA 2000","TOLUCA","CARR TOLUCA NAUCALPAN KM. 52.8. ENTRE AV. DE LAS PARTIDAS Y EL LIBRAMIENTO NORTE TOLUCA, SAN MATEO OTZACATIPAN. TOLUCA MEXICO, C.P. 50200.","PRIVADO", 19.385794, -99.571092
"35","PARQUE INDUSTRIAL TOLUCA","TOLUCA","AV. ISIDRO FABELA 1578, SANTA CRUZ ATZCAPOTZALTONGO, TOLUCA MÉXICO, C. P. 50030","MUNICIPALIZADO", 19.327779, -99.661071
"36","PARQUE INDUSTRIAL VESTA PARK TOLUCA 1","TOLUCA","CARR A VILLA CUAUHTEMOC S/N RANCHO OJO DE AGUA, TOLUCA MÉXICO, C.P. 50233.","PRIVADO", 19.374827, -99.581554
"37","PARQUE INDUSTRIAL VESTA PARK TOLUCA 2","TOLUCA","ISIDRO FABELA 120, SAN NICOLÁS TOLENTINO, COL OTZACATIPAN. TOLUCA, MEXICO, C.P. 50230.","PRIVADO", 19.383018, -99.563264
"38","CORREDOR INDUSTRIAL TOLUCA","TOLUCA","PASEO TOLLOCAN ENTRE AV INDUSTRIA AUTOMOTRIZ Y AV INDUSTRIA, ZONA INDUSTRIAL TOLUCA, TOLUCA, MEXICO, C.P. 50200.","MUNICIPALIZADO", 19.299512, -99.583138
"39","TOLUCA PARK","TOLUCA","CALLE MIGUEL HIDALGO, COL SANTIN, TOLUCA, MEXICO.","PRIVADO", 19.292374, -99.535416
"40","FRONTIER TOLUCA","TOLUCA","CARRETERA NAUCALPAN TOLUCA S/N SAN NICOLÁS TOLENTINO OTZACATIPAN, C.P 50200. TOLUCA MÉXICO.","PRIVADO", 19.375532, -99.558864
