N,PARQUE INDUSTRIAL,MUNICIPIO,DIRECCION,ADMINISTRACION,LATITUD,LONGITUD
"110","PROLOGIS AGAVE LOGISTIC CENTER","CUAUTITLÁN","AV TEJOCOTES S/N, COL EX EJIDO DE SAN MARTIN OBISPO, CUAUTITLAN IZCALLI, MEXICO.","PRIVADO", 19.605677, -99.212183
"111","PROLOGIS LAUREL","CUAUTITLÁN","RIO NEVA S/N COL. BOSQUES XHALA, CUAUTITLÁN IZCALLI, MÉXICO.","PRIVADO", 19.681845, -99.182624
"112","LOGICENTER CUAUTITLÁN I XHALA","CUAUTITLÁN","NARCISO MENDOZA N° 14. SAN SEBASTIAN XHALA. CUAUTITLAN IZCALLI, MEXICO.","PRIVADO", 19.696096, -99.185115
"113","PARQUE INDUSTRIAL SAN LORENZO","CUAUTITLÁN","PROLONGACIÓN SAN LORENZO, SAN LORENZO RIO TENCO, 54713 CUAUTITLÁN IZCALLI, MÉXICO.","PRIVADO", 19.706014, -99.201235
"114","PARQUE LOGÍSTICO EL PERAL","CUAUTITLÁN","CARRETERA A TEOLOYUCAN 90 SANTA BARBARA, 54713 CUAUTITLÁN IZCALLI, MEXICO.","PRIVADO", 19.708046, -99.191628
"115","PARQUE INDUSTRIAL COACALCO","COACALCO DE BERRIOZÁBAL","AV. MALAQUIAS HUITRÓN Y LAS TORRES, SAN LORENZO TETLIXCAC COACALCO, MÉXICO, C.P. 55714.","MUNICIPALIZADO", 19.640893, -99.115056
"116","COACALCO PARK","COACALCO","AV. LAGO DE GUADALUPE 100 COL SAN MIGUEL XOCHIMANGA, ATIZAPÁN ESTADO DE MÉXICO","PRIVADO", 19.622174, -99.077862
"117","MACROCENTRO TULTITLÁN","TULTITLAN","AV. JOSÉ LOPEZ PORTILLO 172 ESQ. AV ESTADO DE MÉXICO 18, COL, BELLO HORIZONTE, BUENAVISTA, TULTITLAN MÉXICO, C. P. 54948.","PRIVADO", 19.623603, -99.153801
"118","PROLOGIS PARK ALAMOS","TULTITLÁN","CARR. TLALNEPANTLA CUAUTITLÁN ENTRE CALLE OLIVOS Y ACCESO POR VIA LOPEZ PORTILLO, COL. RECURSOS HIDRÁULICOS, BUENAVISTA TULTITLAN, MÉXICO, C.P.,54915.","PRIVADO", 19.624415, -99.180720
"119","PARQUE INDUSTRIAL CARTAGENA","TULTITLÁN","AV. HIDALGO, ENTRE AV. UNO Y AV DOS, COLINDANDO CON CALLE RECURSOS HIDRÁULICOS. COL PARQUE INDUSTRIAL. TULTITLAN MÉXICO, C.P. 54918.","MUNICIPALIZADO", 19.652187, -99.157656
"120","PARQUE INDUSTRIAL SAN MIGUEL TULTITLÁN","TULTITLÁN","AV. TULTITLÁN (DEL SABINO) ENTRE CALLES SAN ANTONIO LA PALMA, ARISTEO GARCÍA, Y NARCISO MENDOZA, COL. SANTIAGUITO TULTITLÁN, MÉXICO C.P. 54900.","MUNICIPALIZADO", 19.639025, -99.137016
"121","PARQUE INDUSTRIAL TULTITLÁN","TULTITLÁN","CAMINO VIEJO A TULTITLÁN ECATEPEC KM. 3 (AV. HIDALGO), ENTRE AV. DOS, NARCISO MENDOZA Y COLINDANDO CON CALLE CUATRO, COL PARQUE INDUSTRIAL, TULTITLÁN, MÉXICO, C.P. 54918.","MUNICIPALIZADO", 19.655953, -99.152589
"122","PROLOGIS PARK JLP","TULTITLÁN","AV. JOSE LOPEZ PORTILLO #92, COL BUENAVISTA, EL FRESNO, COL LECHERIA, TULTITLAN, MÉXICO. C.P 54944.","PRIVADO", 19.620412, -99.167778
"123","ZONA INDUSTRIAL CORREDOR LECHERÍA CUAUTITLAN","TULTITLÁN","CARR. MEXICO QUERÉTARO KM. 32.5 ENTRE CALLE HENRY FORD PASANDO POR EL CIRCUITO EXTERIOR MEXIQUENSE Y LA CARRETERA MÉXICO CUAUTITLÁN Y CALLE FERROCARRILERA. COL LECHERÍA TULTITLÁN, C.P. 54900.","MUNICIPALIZADO", 19.622746, -99.18360
"124","ZONA INDUSTRIAL CORREDOR LÓPEZ PORTILLO TULTITLAN","TULTITLÁN","AV. JOSÉ LOPEZ PORTILLO, ENTRE CALLE DE LAS PALMAS Y DE LAS ROSAS, COL LECHERÍA, TULTITLAN MÉXICO, C.P. 54940.","MUNICIPALIZADO", 19.61970, -99.181241
"125","ZONA INDUSTRIAL INDEPENDENCIA","TULTITLÁN","AV. JOSE LOPEZ PORTILLO, DE AV OLIVO A AV. ISIDRO FABELA, ENTRE AV. INDEPENDENCIA Y JOSE MORENO, COL RECURSOS HIDRÁULICOS, TULTITLÁN MEXICO, CP. 54948.","MUNICIPALIZADO", 19.619085, -99.173872
"126","ZONA INDUSTRIAL RECURSOS HIDRÁULICOS","TULTITLÁN","AV. JOSÉ LOPEZ PORTILLO, DE AV OLIVO A AV. ISIDRO FABELA, ENTRE CALLE TULTITLÁN Y CALLE SIN NOMBRE. COL. RECURSOS HIDRÁULICOS, TULTITLÁN, MÉXICO, C.P. 54915.","MUNICIPALIZADO", 19.622456, -99.177488
"127","EVOLUTION PARK CARTAGENA","TULTITLÁN","AV. UNO 101, PARQUE INDUSTRIAL 54900 TULTITLAN DE MARIANO ESCOBEDO, MEXICO.","PRIVADO", 19.648619, -99.154872
"128","MEXIQUENSE PARK","TULTITLÁN","AVENIDA MEXIQUENSE NO. 4,5,6 CASCO DE LA PROVIDENCIA COLONIA PORTALES, TULTITLÁN, MÉXICO.","PRIVADO", 19.641735, -99.14226
"129","PROLOGIS FRESNO","TULTITLÁN","AV. JOSE LOPEZ PORTILLO #92, COL BUENAVISTA, TULTITLAN, MÉXICO","PRIVADO", 19.620452, -99.167767
"130","TULTIPARKI","TULTITLÁN","KM 14.5 DE LA CARRETERA PUENTE DE VIGAS A CUAUTITLAN S/N, LECHERIA TULTITLAN, MÉXICO, C.P. 54900.","PRIVADO", 19.618461, -99.185608
"131","TULTIPARK II (LA PURÍSIMA)","TULTITLÁN","BOULEVARD BENITO JUÁREZ 10. LÁZARO CÁRDENAS, 54900 TULTITLÁN, MEXICO.","PRIVADO", 19.634067, -99.152229
"132","TULTIPARK III","TULTITLÁN","AV DE LAS TORRES 1073, SIN NOMBRE 54900 FUENTES DEL VALLE TULTITLÁN, MÉXICO.","PRIVADO", 19.63961, -99.145479
"133","TULTIPARK IV","TULTITLÁN","PARCELA 194,195, 196 HACIENDA LOS PORTALES S/N 54980, SANTIAGO TEYAHUALCO, TULTITLÁN, MEXICO.","PRIVADO", 19.64289, -99.14474
"134","TULTITLÁN II","TULTITLÁN","AV JOSE LOPEZ PORTILLO # 6, SAN FRANCISCO CHILPAN. TULTITLÁN, MÉXICO","PRIVADO", 19.595918, -99.182465
"135","MACROCENTRO TULTITLÁN II","TULTITLÁN","BENITO JUÁREZ 20, SAN MATEO CUAUTEPEC, FUENTES DEL VALLE TULTITLÁN, MÉXICO","PRIVADO", 19.628459, -99.152077
"136","MACROCENTRO TULTITLAN III","TULTITLÁN","AV JOSÉ LÓPEZ PORTILLO 172. BELLO HORIZONTE, BUENAVISTA, TULTITLÁN MÉXICO.","PRIVADO", 19.623378, -99.158123
"137","TULTIPARK 7","TULTITLÁN","BLVD. BENITO JUÁREZ 49, LÁZARO CARDENAS, 54900 TULTITLÁN, MÉX.","PRIVADO", 19.634282, -99.153412
"138","TULTIPARK 8","TULTITLÁN","BLVD. BENITO JUÁREZ 39, LÁZARO CÁRDENAS, 54900 TULTITLÁN, MEX.","PRIVADO", 19.632738, -99.153272
"139","TULTIPARK 9","TULTITLÁN","AV. ESTADO DE MÉXICO NO. 37 COL SAN MATEO CUAUTEPEC, TULTITLAN MÉXICO.","PRIVADO", 19.621236, -99.154308
"140","WORLD PARK TULTITLAN I","TULTITLAN","ISIDRO FABELA NO. 126. BARRIO LOS REYES, MUNICIPIO DE TULTITLÁN, EDO MÉXICO.","PRIVADO", 19.655831, -99.16327
"141","WORLD PARK TULTITLAN II","TULTITLÁN","BLVD. TULTITLAN OTE. 12. SANTIAGUITO, 54900 TULTUTLAN, MÉXICO.","PRIVADO", 19.645908, -99.136748
"142","MULTIALMACENES LOGISTICOS TULTITLÁN","TULTITLÁN","AV MEXIQUENSE 492. EJIDO DE TEYAHUALCO, TULTITLAN, MÉXICO, C. P. 54980","PRIVADO", 19.640634, -99.149406
"143","MULTIPARK","TULTITLÁN","AV JOSÉ LÓPEZ PORTILLO NO. 250. COLONIA SAN MATEO CUAUTEPEC TULTITLAN, MÉXICO, C. P. 54910","PRIVADO", 19.627926, -99.140356
"144","FRACCIONAMIENTO INDUSTRIAL ESFUERZO NACIONAL","ECATEPEC DE MORELOS","ENTRE VIA MORELOS, AV. VICENTE LOMBARDO TOLEDANO Y CALLE CASA NUEVA, COL SANTA MARÍA COATITLA, ECATEPEC, MÉXICO C.P. 55540.","MUNICIPALIZADO", 19.529945, -99.070431
"145","FRACCIONAMIENTO INDUSTRIAL MORELOS","ECATEPEC DE MORELOS","SOBRE LA VÍA MORELOS, ENTRE LAS CALLES MORELOS E INDUSTRIAS, COL INDUSTRIAL, ECATEPEC MÉXICO, C.P 55400","MUNICIPALIZADO", 19.565908, -99.044728
"147","FRACCIONAMIENTO INDUSTRIAL SANTA MARIA TULPETLAC","ECATEPEC DE MORELOS","SOBRE LA VIA MORELOS ENTRE LAS CALLES LA GOBERNADORA, SONORA Y COLINDANDO CON EL GRAN CANAL, COL SANTA MARIA TULPETLAC ECATEPEC, MEXICO CP. 55400.","MUNICIPALIZADO", 19.563250, -99.043448
"148","FRACCIONAMIENTO INDUSTRIAL XALOSTÓC","ECATEPEC DE MORELOS","VIA MORELOS Y AUTOPISTA MÉXICO PACHUCA, ENTRE AV. SIDERURGIA AV. ELECTRICIDAD, COL INDUSTRIAL XALOSTOC, ECATEPEC, MÉXICO, C.P.","MUNICIPALIZADO", 19.513456, -99.083883
"149","ZONA INDUSTRIAL CERRO GORDO","ECATEPEC DE MORELOS","VÍA MORELOS ENTRE LAS CALLES DE AV. LAS TORRES, NUEVO LEÓN INDUSTRIAS Y COLINDANDO CON LA AUTOPISTA MEXICO PACHUCA, COL CERRO GORDO, ECATEPEC, MÉXICO C.P. 55420.","MUNICIPALIZADO", 19.549761, -99.052490
"150","ZONA INDUSTRIAL GUADALUPE VICTORIA","ECATEPEC DE MORELOS","VÍA JOSÉ LOPEZ PORTILLO, ENTRE LAS CALLES FRANCISCO VILLA, LA NACIONAL Y CALLE OBRAJE ATRÁS DE PUNTA DIAMANTE, COL GUADALUPE VICTORIA, ECATEPEC MÉXICO, C.P. 55210","MUNICIPALIZADO", 19.622736, -99.067706
"151","ZONA INDUSTRIAL URBANA Y/O CUAUHTÉMOC XALOSTOC","ECATEPEC DE MORELOS","VÍA MORELOS DESDE LA AV, EMILIANO ZAPATA HASTA PROLONGACIÓN. YUCATAN COLINDANDO CON LA AUTOPISTA MÉXICO PACHUCA, COL URBANA IXHUATEPEC, ECATEPEC, MÉXICO, C.P. 55349.","MUNICIPALIZADO", 19.516154, -99.0830309
"152","ZONA INDUSTRIAL JAJALPA","ECATEPEC DE MORELOS","AV. LIC ANGEL OTERO ENTRE LAS CALLES CALZADA DE LA VIGA, SONORA Y PROLONGACIÓN. ONIMEX, COL OLIMPICA JAJALPA. ECATEPEC MÉXICO, C.P. 55090.","MUNICIPALIZADO", 19.588666, -99.034321
"153","ZONA INDUSTRIAL SANTA CLARA COATITLA","ECATEPEC DE MORELOS","VIA MORELOS ENTRE LAS CALLES INDEPENDENCIA, 2 DE OCTUBRE Y CALLE TOLTECAS, COL SANTA CLARA COATITLA, ECATEPEC MÉXICO, C.P. 55540.","MUNICIPALIZADO", 19.533551, -99.069131
"154","SB PARQUE INDUSTRIAL","HUIXQUILUCAN","CARRETARA CUAUTITLAN TEOLOYUCAN KM. 12.5. SAN MATEO IXTACALCO, 54840 CUAUTITLÁN IZCALLI, MEX.","PRIVADO", 19.704525, -99.190543
"155","PARQUE INDUSTRIAL IXTAPALUCA","IXTAPALUCA","CARR DE CUOTA MÉXICO PUEBLA EN EL ENTRONQUE CON LA CARR MÉXICO CUAUTLA, COL, NUEVO PARQUE INDUSTRIAL, IXTAPALUCA, MÉXICO, CP 56535.","MUNICIPALIZADO", 19.313312, -98.893140
"156","PARQUE INDUSTRIAL LA ESPINITA","IXTAPALUCA","AV. DE LA ESPINITA S/N ENTRE FERROCARRIL TRANSOCEANICO Y LA CARR, FEDERAL MÉXICO CUAUTLA JARDIN INDUSTRIAL. IXTAPALUCA MÉXICO, 56530.","MUNICIPALIZADO", 19.296404, -98.887591
"157","LOGISTICS AND DISTRIBUTION BUSSINES PARK (LDBP)","IXTAPALUCA","AUTOPISTA FEDERAL MEXICO PUEBLA KM. 30.5. COL GEOVILLAS SANTA BÁRBARA, IXTAPALUCA MÉXICO, C.P. 56600.","PRIVADO", 19.291229, -98.893898
"158","ZONA INDUSTRIAL CHALCO","CHALCO","EN LA ESQ. ENTRE LA AV CUAUHTÉMOCY CARR. FEDERAL MÉXICO-CUAUTLA. COL ZONA INDUSTRIAL CHALCO, ESTADO DE MÉXICO, CP. 56600.","MUNICIPALIZADO", 19.251617, -98.886954
"159","ZONA INDUSTRIAL VALLE DE CHALCO SOLIDARIDAD","VALLE DE CHALCO","ENTRE CALLES JOSÉ GUADALUPE POSADA, SANTA CATARINA Y EJE 10 SUR, COL SANTA CATARINA YECAHUITZOTL, VALLE DE CHALCO SOLIDARIDAD, MÉXICO, C.P. 56618.","MUNICIPALIZADO", 19.307510, -98.963647
"160","ADVANCE TEPOTZOTLÁN I","TEPOTZOTLAN","CALLE LIBRAMIENTO SUR S/N, BARRIO CAPULA. 54603, TEPOTZOTLÁN MEXICO.","PRIVADO", 19.718776, -99.2113516
"161","ADVANCE TEPOTZOTLÁN II","TEPOTZOTLÁN","AVENIDA DEL TRABAJO #1409 CÁPULA, TEPOTZOTLÁN, MÉXICO.","PRIVADO", 19.706043, -99.227541
"162","CONVENTO CITY PARKI","TEPOTZOTLÁN","CALLE LIBRAMIENTO NTE 15 TEXCACOA, 54605 ΤΕΡOTZOTLÁN MEXICO.","PRIVADO", 19.705828, -99.213635
"163","LOGIPARK XOCHITLA","TEPOTZOTLAN","CARRETERA A TEOLOYUCAN LAS ANIMAS 17. EL TREBOL, TEPOTZOTLÁN MEXICO.","PRIVADO", 19.7288707, -99.1972174
"164","TEPOZOPARK","TEPOTZOTLÁN","CALLE INDUSTRIAL S/N, BARRIO LAS ANIMAS, TEPOTZOTLÁN, MÉXICO.","PRIVADO", 19.731672, -99.204136
"165","PARQUE INDUSTRIAL XOLACHE","TEXCOCO","LECHERIA KM 22.5. CARRETERA FEDERAL TEXCOCO-MEXICO TEXCOCO, MÉXICO","PRIVADO", 19.527515, -98.89429558
"166","PIT PARQUE INDUSTRIAL TEXCOCO","TEXCOCO","CARRETERA LECHERÍA LOS REYES KM 23.500 COLONIA, LECHERIA-LOS REYES LA MAGDALENA PANOAYA, 56100 CP. MÉXICO.","PRIVADO", 19.5307800, -98.9000539
"167","CENTRO INDUSTRIAL TLALNEPANTLA","TLALNEPANTLA DE BAZ","CALLE MARIANO ESCOBEDO, ENTRE AUTOPISTA MÉXICO QUERÉTARO Y AYUNTAMIENTO, COL CENTRO INDUSTRIAL TLALNEPANTLA, MÉXICO, C.P. 54030.","MUNICIPALIZADO", 19.541366, -99.203062
"168","FRACCIONAMIENTO INDUSTRIAL BARRIENTOS","TLALNEPANTLA DE BAZ","VIA GUSTAVO BAZ ENTRE LAS CALLES PROLONGACIÓN. HIDALGO, AGUSTIN MELGAR Y JUAN DE LA BARRERA, COL INDUSTRIAL BARRIENTOS. TLALNEPANTLA, MÉXICO, СР. 54015.","MUNICIPALIZADO", 19.573617, -99.2000149
"169","FRACCIONAMIENTO INDUSTRIAL LA LOMA","TLALNEPANTLA DE BAZ","VIA GUSTAVO BAZ ENTRE AV. MARIO COLIN CON RECURSOS HIDRÁULICOS, COL LA LOMA, TLALNEPANTLA, MEXICO, C.P. 54060.","MUNICIPALIZADO", 19.533275, -99.205830
"170","FRACCIONAMIENTO INDUSTRIAL LA PRESA","TLALNEPANTLA DE BAZ","ENTRE AV. LA PRESA, AV. SAN JOSE. ACUEDUCTO Y RIO DE LOS REMEDIOS, COL, INDUSTRIAL LA PRESA, TLALNEPANTLA, MÉXICO, C.P. 54187.","MUNICIPALIZADO", 19.525228, -99.115089
"171","FRACCIONAMIENTO INDUSTRIAL LAS ARMAS","TLALNEPANTLA DE BAZ","CALZADA DE LAS ARMAS Y AV. LÓPEZ MATEOS, COL. INDUSTRIAL LAS ARMAS, TLALNEPANTLA, MÉXICO, CP. 54080.","MUNICIPALIZADO", 19.509278, -99.21088
"172","FRACCIONAMIENTO INDUSTRIAL SAN LORENZO","TLALNEPANTLA DE BAZ","ANILLO PERIFERICO ENTRE SOR JUANA INES DE LA CRUZ Y VÍA GUSTAVO BAZ, COL. SAN LORENZO. TLALNEPANTLA, MÉXICO, C.P. 54033.","MUNICIPALIZADO", 19.539574, -99.207696
"173","FRACCIONAMIENTO INDUSTRIAL SAN NICOLÁS","TLALNEPANTLA DE BAZ","SOBRE AV. GUSTAVO BAZ ENTRE LAS CALLES AV. RADIAL TOLTECAS Y FERNANDO MONTES DE OCA, COL INDUSTRIAL SAN NICOLÁS. TLALNEPANTLA, MÉXICO C.P. 54000.","MUNICIPALIZADO", 19.5522702, -99.2022709
"174","PARQUE INDUSTRIAL SAN PABLO XALPA","TLALNEPANTLA DE BAZ","ENTRE LA AV. INDUSTRIAL Y LAS CALLES LIC. JUAN DE LA BARRERA Y CALLE 16, DELANTE DEL VASO REGULADOR CARRETAS, COL SAN PABLO XALPA, TLALNEPANTLA, MÉXICO, C.P. 54090.","MUNICIPALIZADO", 19.519312, -99.1664355
"175","FRACCIONAMIENTO INDUSTRIAL TABLA HONDA","TLALNEPANTLA DE BAZ","AV. FERROCARRIL ENTRE AV. SANTA CECILIA (CARRETERA A TENAYUCA), ENTRE CALLE PINO Y CAPULIN, COL TABLA HONDA, TLALNEPANTLA, MÉXICO, C.P. 54126.","MUNICIPALIZADO", 19.544286, -99.179883
"176","FRACCIONAMIENTO INDUSTRIAL TLAXCOLPAN","TLALNEPANTLA DE BAZ","AV TENAYUCA ENTRE CALLE HIDALGO, TOLTECAS Y RÍO LERMA, COL INDUSTRIAL TLAXCOLPAN, TLALNEPANTLA, MÉXICO, С.Р. 54030","MUNICIPALIZADO", 19.552636, -99.197168
"177","FRACCIONAMIENTO INDUSTRIAL LOS REYES","TLALNEPANTLA DE BAZ","AV. PRESIDENTE JUAREZ Y BLVD. CENTRO INDUSTRIAL ENTRE VIA GUSTAVO BAZ Y CALLE IXTACALA, COL LOS REYES IZTACALA, TLALNEPANTLA, MÉXICO, С.Р. 54090.","MUNICIPALIZADO", 19.5236074, -99.193813
"178","FRACCIONAMIENTO INDUSTRIAL NIÑOS HEROES","TLALNEPANTLA DE BAZ","ENTRE VÍA GUSTAVO BAZ, LATERAL CEYLAN Y JUAN DE LA BARRERA, COL NIÑOS HEROES, TLALNEPANTLA, MÉXICO, C.P. 54017,","MUNICIPALIZADO", 19.565684, -99.19919842
"179","FRACCIONAMIENTO INDUSTRIAL PUENTE DE VIGAS","TLALNEPANTLA DE BAZ","AV. LAS ARMAS NORTE, ENTRE AUTOPISTA NAUCALPAN ECATEPEC Y ADOLFO LÓPEZ MATEOS, COL. INDUSTRIAL SAN JOSÉ PUENTE DE VIGAS, TLALNEPANTLA. MEXICO, CP. 54090.","MUNICIPALIZADO", 19.510115, -99.212770
"180","FRACCIONAMIENTO INDUSTRIAL SAN BUENAVENTURA","TLALNEPANTLA DE BAZ","AV. JESÚS REYES HEROLES Y CALLE CERRADA DE BUENAVENTURA, COL FRAC INDUSTRIAL SAN BUENAVENTURA. TLALNEPANTLA, MÉXICO, С.Р. 54135.","MUNICIPALIZADO", 19.55236885, -99.184562
"181","FRACCIONAMIENTO INDUSTRIAL SAN JERONIΜΟ TEPETLACALCO","TLALNEPANTLA DE BAZ","ENTRE AV. GUSTAVO BAZ PRADA Y AV. FRANCISCO I. MADERO Y ADOLFO LOPEZ MATEOS, COLINDANDO CON LA AUTOPISTA NAUCALPAN ECATEPEC, COL SAN JERÓNIMO TEPETLACALCO, TLALNEPANTLA, MÉXICO, C.P. 54090.","MUNICIPALIZADO", 19.515761271427785, -99.20782414288017
"182","TLALNE PARK","TLALNEPANTLA DE BAZ","CARR. LAGO DE GUADALUPE KM 26.5. SAN PEDRO BARRIENTOS. TLALNEPANTLA, MÉXICO, C.P. 54010.","PRIVADO", 19.578526, -99.209945
"183","ZONA INDUSTRIAL PUENTE DE VIGAS","TLALNEPANTLA DE BAZ","AV. LOPEZ MATEOS Y GUSTAVO BAZ PRADA ENTRE LAS CALLES MONSERRAT Y AV. PRESIDENTE JUÁREZ COL. XOCOYAHUALCO, TLALNEPANTLA, MÉXICO, C.P. 54080.","MUNICIPALIZADO", 19.514505, -99.216248
"184","CEYLANPARK","TLALNEPANTLA DE BAZ","AVENIDA JESÚS REYES HEROLES NO. 69 ESQ. AUTOPISTA NAUCALPAN-ECATEPEC, COL EJIDO SAN JUAN IXTACALA, 54160 TLALNEPANTLA DE BAZ, MEXICO.","PRIVADO", 19.508272, -99.175993
"185","CPA DISTRIBUTION TLALNEPANTLA CENTER","TLALNEPANTLA DE BAZ","CALLE INDUSTRIA ELECTRICA MEXICANA. INDUSTRIAL BARRIENTOS, 54015 TLALNEPANTLA DE BAZ, MEXICO.","PRIVADO", 19.567540, -99.198667
"186","CPA LOGISTICS CENTER TLALNEPANTLA","TLALNEPANTLA DE BAZ","VÍA GUSTAVO BAZ KM 12.5. INDUSTRIAL BARRIENTOS, 54015 TLALNEPANTLA DE BAZ, MEXICO.","PRIVADO",19.574930, -99.202443
"187","GUSTAVO BAZ PARK","TLALNEPANTLA DE BAZ","AV. GUSTAVO BAZ PRADA 180. LA MORA, 54090 TLALNEPANTLA DE BAZ, MÉXICO.","PRIVADO", 19.521511, -99.210944
"188","TLANEPARK II","TLALNEPANTLA DE BAZ","CARRETERA AL LAGO DE GUADALUPE KM 27.5. SAN PEDRO BARRIENTOS, TLALNEPANTLA DE BAZ. MÉXICO","PRIVADO", 19.589270, -99.211281
"189","TLANEPARK III","TLALNEPANTLA DE BAZ","AV. RÍO DE LOS REMEDIOS 5, SAN LJUAN IXHUATEPEC, 54187, TLALNEPANTLA DE BAZ MÉXICO.","PRIVADO", 19.520011, -99.119531
"190","TLANEPARK IV","TLALNEPANTLA DE BAZ","AV JOSE LOPEZ PORTILLO 69, SAN PEDRO BARRIENTOS, TLALNEPANTLA DE BAZ. MÉXICO.","PRIVADO",19.587049, -99.198159
"191","CITYPARK","TLALNEPANTLA DE BAZ","AMPLIACIÓN MIGUEL HIDALGO Y AV. TOLTECAS 43. COL. INDUSTRIAL TLAXCOLPAN, TLALNEPANTLA DE BAZ, MÉXICO.","PRIVADO", 19.555128, -99.192462
"192","FERROPARK II","TLALNEPANTLA DE BAZ","AV. MARIO COLIN ESQ, REYES HEROLES VALLE CEYLAN 54150. TLALNEPANTLA DE BAZ, MÉXICO.","PRIVADO", 19.509431, -99.178383
"193","KIMEX PARK TLALNE","TLALNEPANTLA DE BAZ","RESERVA ECOLOGICA 2. TLALNEPANTLA DE BAZ, MEXICO","PRIVADO", 19.570153, -99.209485
"194","TLANEPARK","TLALNEPANTLA DE BAZ","AV. SAN RAFAEL SANTA CECILIA 211, COLONIA SANTA CECILIA, TLALNEPANTLA DE BAZ, ESTADO DE MEXICO, C.P. 54130.","PRIVADO", 19.553207, -99.178332
"195","WORLD PARK TLALNEPANTLA I","TLALNEPANTLA DE BAZ","AVENIDA SAN PEDRO 1Y 3, SAN PEDRO BARRIENTOS, 54010 TLALNEPANTLA DE BAZ, MEX","PRIVADO", 19.582512, -99.194876
"196","WORLD PARK TLALNEPANTLA II","TLALNEPANTLA DE BAZ","RECURSOS PETROLEROS 11, COL. LA LOMA, TLALNEPANTLA DE BAZ. ESTADO DE MÉXICO.","PRIVADO", 19.535399, -99.211123
"197","WORLD PARK TLALNEPANTLA","TLALNEPANTLA DE BAZ","AV PRESIDENTE JUÁREZ 33. TLALNEPANTLA DE BAZ, ESTADO DE MÉXICO.","PRIVADO", 19.5374052, -99.1938772
"198","PREMIUM PARK TULTEPECI","TULTEPEC","AVENIDA CUAUTITLÁN #21, EJIDO DE SANTIAGO TEYAHUALCO, C. P. 54980, TULTEPEC, MÉXICO","PRIVADO", 19.648428, -99.149006
"199","PREMIUM PARK TULTEPEC II","TULTEPEC","CAMINO A LA PROVIDENCIA S/N, 54980 SANTIAGO TEYAHUALCO, TULTEPEC, MÉXICO.","PRIVADO", 19.650681, -99.146786
"200","TULE INDUSTRIAL PARK","TULTEPEC","AVENIDA DOS # 12, ESQUINA CALLE FICUS, SANTIAGO TEYAHUALCO. TULTEPEC, MÉXICO.","PRIVADO", 19.651152, -99.150105 
"201","TULE INDUSTRIAL PARK II","TULTEPEC","AVENIDA CUAUTITLÁN #4 EJIDO SANTIAGO TEYAHUALCO, C. P. 54960, TULTEPEC, MÉXICO.","PRIVADO", 19.649927, -99.150748
"202","TULE INDUSTRIAL PARK III","TULTEPEC","CARTAGENA NO. 10 EJIDO DE, 54960 SANTIAGO TEYAHUALCO, C. P. 54960, TULTEPEC, MÉXICO.","PRIVADO", 19.647519, -99.145123
"203","WORLD PARK TULTEPEC","TULTEPEC","AV. 2 DE MARZO, EL QUEMADO, 54960 TULTEPEC, MEXICO.","PRIVADO", 19.679317, -99.144287
"204","TULTEPARK","TULTEPEC","CALLE SIN NOMBRE, ESQUINA CIRCUITO EXTERIOR MEXIQUENSE. TULTITLAN, ESTADO DE MÉXICO.","PRIVADO", 19.654705, -99.148409
"205","PARQUE INDUSTRIAL NEZAHUALCÓYOTL","NEZAHUALCÓYOTL","AV. CHIMALHUACAN S/N, ENTRE LAS CALLES VALLE DE BRAVO Y HUIXQUILUCAN, COL. ESPERANZA, NEZAHUALCÓYOTL. MÉXICO. C.P. 57810.","MUNICIPALIZADO",19.408580, -99.018344
"206","FRACCIONAMIENTO INDUSTRIAL ALCE BLANCO","NAUCALPAN DE JUAREZ","ENTRE BLVD. MANUEL AVILA CAMACHO, 16 DE SEPTIEMBRE, GRAL MELCHOR MUZQUIZ. CALLE LA NARANJA, AV. GUSTAVO BAZ Y CALLE NEGRA MODELO, FRACCIONAMIENTO ALCE BLANCO, NAUCALPAN, MÉXICO, C. P. 53370.","MUNICIPALIZADO", 19.476387, -99.225222
"207","FRACCIONAMIENTO INDUSTRIAL LA PERLA","NAUCALPAN DE JUÁREZ","AV. NUEVA ENTRE LAS CALLES DE ATENCO, LA NARANJA, CALLE SIETE, CALLE NUEVA Y NEGRA MODELO, INDUSTRIAL LA PERLA, NAUCALPΑΝ, MÉXICO C.P. 53348.","MUNICIPALIZADO", 19.480348, -99.220480
"208","FRACCIONAMIENTO INDUSTRIAL NAUCALPAN","NAUCALPAN DE JUÁREZ","AV. DOCTOR GUSTAVO BAZ Y PRIMERO DE MAYO ENTRE LAS CALLES 16 DE SEPTIEMBRE Y PERIFÉRICO COL INDUSTRIAL TLATILCO 2, NAUCALPAN, MEXICO, C.P. 53370","MUNICIPALIZADO", 19.481571, -99.230846
"209","FRACCIONAMIENTO INDUSTRIAL SAN ANDRES A TOTO","NAUCALPAN DE JUÁREZ","AV. PRIMERO DE MAYO ENTRE CIRCUNVALACIÓN SUR Y CALLE SAN ANDRÉS A TOTO, EL CONDE. NAUCALPAN, MÉXICO, C.P. 53560.","MUNICIPALIZADO", 19.460287, -99.217713
